ds,yhat,yhat_lower,yhat_upper
2018-12-31,3456.120193657569,-649.4964419659173,7561.736829281055
2019-01-01,3386.7531889354395,-718.8634466880467,7492.369824558926
2019-01-02,1838.8551832193323,-2266.7614524041537,5944.471818842819
2019-01-03,1189.7608412696613,-2915.855794353825,5295.377476893147
2019-01-04,3312.6004208516706,-793.0162147718156,7418.217056475157
2019-01-05,3943.033953497804,-162.58268212568237,8048.65058912129
2019-01-06,3360.7382848312564,-744.8783507922299,7466.354920454743
